,Year,N11,N12,N13,N14,N15,N16,N17,N18,N19,N110,N111,N112,N21,N22,N23,N24,N25,N26,N27,N28,N29,N210,N211,N212,Population,Area,Zone1_n,Zone2_c,Zone3_s
臺北市中山區,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,223876,13.68,1,0,0
臺北市中正區,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,155397,7.61,1,0,0
臺中市北區,109,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,146590,6.94,0,1,0
臺中市南區,109,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126769,6.81,0,1,0
臺中市西區,109,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114583,5.7,0,1,0
臺中市中區,109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18168,0.88,0,1,0
新北市板橋區,109,1,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,557114,23.14,1,0,0
新北市蘆洲區,109,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,202456,7.44,1,0,0
新北市三重區,109,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,385328,16.32,1,0,0
新北市新莊區,109,0,2,3,1,0,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,422653,19.74,1,0,0
新北市永和區,109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,219364,5.71,1,0,0
新北市中和區,109,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411214,20.14,1,0,0
高雄市苓雅區,110,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,164572,8.15,0,0,1
高雄市旗津區,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27204,1.46,0,0,1
高雄市三民區,110,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,2,0,333038,19.79,0,0,1
高雄市新興區,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49383,1.98,0,0,1
高雄市鹽埕區,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22912,1.42,0,0,1
臺北市大安區,110,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,291410,11.36,1,0,0
臺北市大同區,110,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,120772,5.68,1,0,0
臺北市松山區,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,193388,9.29,1,0,0
臺北市萬華區,110,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,176617,8.85,1,0,0
臺北市信義區,110,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,207500,11.21,1,0,0
臺北市中正區,110,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,150644,7.61,1,0,0
臺中市北區,110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,143917,6.94,0,1,0
臺中市南區,110,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,126008,6.81,0,1,0
臺中市西區,110,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,112740,5.7,0,1,0
臺中市中區,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17689,0.88,0,1,0
新北市板橋區,110,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,552713,23.14,1,0,0
新北市蘆洲區,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201489,7.44,1,0,0
新北市三重區,110,0,0,0,1,1,0,1,0,2,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,381731,16.32,1,0,0
新北市新莊區,110,0,1,1,0,1,0,0,3,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,421381,19.74,1,0,0
新北市永和區,110,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,214967,5.71,1,0,0
新北市中和區,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,406140,20.14,1,0,0
