,Year,Month,County,Category
1,101,3,臺南市七股區,自用小客車
2,101,9,臺南市七股區,自用小客車
3,101,10,臺南市七股區,自用小客車
4,105,10,臺南市七股區,自用小客車
5,106,4,臺南市七股區,自用小客車
6,108,3,臺南市七股區,自用小客車
7,108,9,臺南市七股區,自用小客車
8,110,12,臺南市七股區,自用小客車
9,102,8,基隆市七堵區,自用小客車
10,102,11,基隆市七堵區,自用小客車
11,102,12,基隆市七堵區,自用小客車
12,103,6,基隆市七堵區,自用小客車
13,104,7,基隆市七堵區,自用小客車
14,107,1,基隆市七堵區,自用小客車
15,108,1,基隆市七堵區,自用小客車
16,102,4,屏東縣九如鄉,自用小客車
17,103,11,屏東縣九如鄉,自用小客車
18,107,4,屏東縣九如鄉,自用小客車
19,107,6,屏東縣九如鄉,自用小客車
20,108,7,屏東縣九如鄉,自用小客車
21,108,10,屏東縣九如鄉,自用小客車
22,101,12,彰化縣二水鄉,自用小客車
23,102,10,彰化縣二水鄉,自用小客車
24,104,10,彰化縣二水鄉,自用小客車
25,108,7,彰化縣二水鄉,自用小客車
26,101,1,彰化縣二林鎮,自用小客車
27,101,5,彰化縣二林鎮,自用小客車
28,102,1,彰化縣二林鎮,自用小客車
29,103,12,彰化縣二林鎮,自用小客車
30,104,5,彰化縣二林鎮,自用小客車
31,104,6,彰化縣二林鎮,自用小客車
32,104,10,彰化縣二林鎮,自用小客車
33,104,12,彰化縣二林鎮,自用小客車
34,105,1,彰化縣二林鎮,自用小客車
35,105,4,彰化縣二林鎮,自用小客車
36,105,12,彰化縣二林鎮,自用小客車
37,106,10,彰化縣二林鎮,自用小客車
38,107,2,彰化縣二林鎮,自用小客車
39,107,3,彰化縣二林鎮,自用小客車
40,107,9,彰化縣二林鎮,自用小客車
41,107,9,彰化縣二林鎮,自用小客車
42,107,11,彰化縣二林鎮,自用小客車
43,109,4,彰化縣二林鎮,自用小客車
44,109,7,彰化縣二林鎮,自用小客車
45,109,10,彰化縣二林鎮,自用小客車
46,101,11,雲林縣二崙鄉,自用小客車
47,103,9,雲林縣二崙鄉,自用小客車
48,103,12,雲林縣二崙鄉,自用小客車
49,103,12,雲林縣二崙鄉,自用小客車
50,104,3,雲林縣二崙鄉,自用小客車
51,104,5,雲林縣二崙鄉,自用小客車
52,105,11,雲林縣二崙鄉,自用小客車
53,106,7,雲林縣二崙鄉,自用小客車
54,109,8,雲林縣二崙鄉,自用小客車
55,105,1,新北市八里區,自用小客車
56,106,10,新北市八里區,自用小客車
57,109,9,新北市八里區,自用小客車
58,101,1,桃園縣八德市,自用小客車
59,101,12,桃園縣八德市,自用小客車
60,102,2,桃園縣八德市,自用小客車
61,102,9,桃園縣八德市,自用小客車
62,102,11,桃園縣八德市,自用小客車
63,103,3,桃園縣八德市,自用小客車
64,103,6,桃園縣八德市,自用小客車
65,103,11,桃園縣八德市,自用小客車
66,104,1,桃園市八德區,自用小客車
67,104,3,桃園市八德區,自用小客車
68,105,1,桃園市八德區,自用小客車
69,105,2,桃園市八德區,自用小客車
70,106,1,桃園市八德區,自用小客車
71,106,1,桃園市八德區,自用小客車
72,106,2,桃園市八德區,自用小客車
73,106,5,桃園市八德區,自用小客車
74,106,5,桃園市八德區,自用小客車
75,106,7,桃園市八德區,自用小客車
76,106,9,桃園市八德區,自用小客車
77,106,9,桃園市八德區,自用小客車
78,107,7,桃園市八德區,自用小客車
79,107,12,桃園市八德區,自用小客車
80,108,3,桃園市八德區,自用小客車
81,108,6,桃園市八德區,自用小客車
82,109,4,桃園市八德區,自用小客車
83,109,9,桃園市八德區,自用小客車
84,101,3,高雄市三民區,自用小客車
85,101,5,高雄市三民區,自用小客車
86,101,8,高雄市三民區,自用小客車
87,102,1,高雄市三民區,自用小客車
88,102,11,高雄市三民區,自用小客車
89,103,1,高雄市三民區,自用小客車
90,103,3,高雄市三民區,自用小客車
91,103,5,高雄市三民區,自用小客車
92,103,5,高雄市三民區,自用小客車
93,103,8,高雄市三民區,自用小客車
94,103,12,高雄市三民區,自用小客車
95,104,3,高雄市三民區,自用小客車
96,104,8,高雄市三民區,自用小客車
97,105,5,高雄市三民區,自用小客車
98,105,5,高雄市三民區,自用小客車
99,105,11,高雄市三民區,自用小客車
100,105,11,高雄市三民區,自用小客車
101,106,8,高雄市三民區,自用小客車
102,107,3,高雄市三民區,自用小客車
103,107,10,高雄市三民區,自用小客車
104,107,11,高雄市三民區,自用小客車
105,107,11,高雄市三民區,自用小客車
106,108,12,高雄市三民區,自用小客車
107,109,1,高雄市三民區,自用小客車
108,109,4,高雄市三民區,自用小客車
109,109,7,高雄市三民區,自用小客車
110,109,9,高雄市三民區,自用小客車
111,110,2,高雄市三民區,自用小客車
112,110,3,高雄市三民區,自用小客車
113,110,6,高雄市三民區,自用小客車
114,110,8,高雄市三民區,自用小客車
115,110,11,高雄市三民區,自用小客車
116,110,11,高雄市三民區,自用小客車
117,103,7,新北市三芝區,自用小客車
118,105,8,新北市三芝區,自用小客車
119,107,6,新北市三芝區,自用小客車
120,108,4,新北市三芝區,自用小客車
121,110,1,新北市三芝區,自用小客車
122,101,3,宜蘭縣三星鄉,自用小客車
123,101,4,宜蘭縣三星鄉,自用小客車
124,102,3,宜蘭縣三星鄉,自用小客車
125,102,7,宜蘭縣三星鄉,自用小客車
126,102,8,宜蘭縣三星鄉,自用小客車
127,103,9,宜蘭縣三星鄉,自用小客車
128,106,4,宜蘭縣三星鄉,自用小客車
129,110,1,宜蘭縣三星鄉,自用小客車
130,110,1,宜蘭縣三星鄉,自用小客車
