,statistic_yyy,site_id,people_total,area,population_density
139,108,臺中市中區,18390,0.8803,20891
140,108,臺中市南區,126571,6.8101,18586
141,108,臺中市西區,115273,5.7042,20208
142,108,臺中市北區,147391,6.9376,21245
143,108,高雄市鹽埕區,23889,1.4161,16870
144,108,高雄市三民區,339269,19.7866,17146
145,108,高雄市新興區,51014,1.9764,25812
146,108,高雄市苓雅區,168825,8.1522,20709
147,108,高雄市旗津區,28129,1.4639,19215
148,109,新北市板橋區,557114,23.1373,24079
149,109,新北市三重區,385328,16.317,23615
150,109,新北市中和區,411214,20.144,20414
151,109,新北市永和區,219364,5.7138,38392
152,109,新北市新莊區,422653,19.7383,21413
153,109,新北市蘆洲區,202456,7.4351,27230
154,109,臺北市松山區,200316,9.2878,21568
155,109,臺北市信義區,215240,11.2077,19205
156,109,臺北市大安區,302644,11.3614,26638
157,109,臺北市中正區,155397,7.6071,20428
158,109,臺北市大同區,123849,5.6815,21799
159,109,臺北市萬華區,183088,8.8522,20683
160,109,臺中市中區,18168,0.8803,20638
161,109,臺中市南區,126769,6.8101,18615
162,109,臺中市西區,114583,5.7042,20087
163,109,臺中市北區,146590,6.9376,21130
164,109,高雄市鹽埕區,23553,1.4161,16632
165,109,高雄市三民區,336868,19.7866,17025
166,109,高雄市新興區,50490,1.9764,25546
167,109,高雄市苓雅區,167280,8.1522,20520
168,109,高雄市旗津區,27785,1.4639,18980
169,110,新北市板橋區,552713,23.1373,23888
170,110,新北市三重區,381731,16.317,23395
171,110,新北市中和區,406140,20.144,20162
172,110,新北市永和區,214967,5.7138,37622
173,110,新北市新莊區,421381,19.7383,21348
174,110,新北市蘆洲區,201489,7.4351,27100
175,110,臺北市松山區,193388,9.2878,20822
176,110,臺北市信義區,207500,11.2077,18514
177,110,臺北市大安區,291410,11.3614,25649
178,110,臺北市中正區,150644,7.6071,19803
179,110,臺北市大同區,120772,5.6815,21257
180,110,臺北市萬華區,176617,8.8522,19952
181,110,臺中市中區,17689,0.8803,20094
182,110,臺中市南區,126008,6.8101,18503
183,110,臺中市西區,112740,5.7042,19764
184,110,臺中市北區,143917,6.9376,20744
185,110,高雄市鹽埕區,22912,1.4161,16180
186,110,高雄市三民區,333038,19.7866,16831
187,110,高雄市新興區,49383,1.9764,24986
188,110,高雄市苓雅區,164572,8.1522,20187
189,110,高雄市旗津區,27204,1.4639,18583
